Tweet,Source,URL
"#SaveKashmir
जंग होने पर नेता अपनी जान बचाते हुए बंकर में चले जाते हैं और मरती है अवाम.
पर #Kashmir में तो… https://t.co/iFqFSXywcx",Twitter for Android,http://twitter.com/download/android
"RT @indusdotnews: #Modi, the “butcher of Gujrat”, has been tirelessly working on the agenda of “Akhand Bharat”. Is this a reflection of #Hi…",Twitter Web App,https://mobile.twitter.com
RT @SaeedShah: India’s preliminary list of citizens in Assam didn’t include the names of about four million of the state’s 33 million resid…,Twitter for Android,http://twitter.com/download/android
"RT @Mohamme91443915: #SaveKashmir
जंग होने पर नेता अपनी जान बचाते हुए बंकर में चले जाते हैं और मरती है अवाम.
पर #Kashmir में तो #370Article…",Twitter for Android,http://twitter.com/download/android
RT @manish28002880: Best journalist of India ?#ArrestBarkha #Arundhati Roy #PakKeepStanding #INDvSA #KashmirHour #Pakistanis #ImranKhanForP…,TweetDeck,https://about.twitter.com/products/tweetdeck
"RT @BOLNETWORK: گجرات کا قصاب کشمیر کا قصاب بن کر بیٹھا ہے
مودی نے اب کچھ کیا تو بھارت کیلئے اچھا نہیں ہوگا
#BOLNews #AisayNahiChalayGa #Mo…",Twitter for Android,http://twitter.com/download/android
"RT @indusdotnews: #Modi, the “butcher of Gujrat”, has been tirelessly working on the agenda of “Akhand Bharat”. Is this a reflection of #Hi…",Twitter for Android,http://twitter.com/download/android
"RT @BOLNETWORK: گجرات کا قصاب کشمیر کا قصاب بن کر بیٹھا ہے
مودی نے اب کچھ کیا تو بھارت کیلئے اچھا نہیں ہوگا
#BOLNews #AisayNahiChalayGa #Mo…",Twitter for iPhone,http://twitter.com/download/iphone
Best journalist of India ?#ArrestBarkha #Arundhati Roy #PakKeepStanding #INDvSA #KashmirHour #Pakistanis… https://t.co/11ias19FH0,Twitter for iPhone,http://twitter.com/download/iphone
"RT @BOLNETWORK: گجرات کا قصاب کشمیر کا قصاب بن کر بیٹھا ہے
مودی نے اب کچھ کیا تو بھارت کیلئے اچھا نہیں ہوگا
#BOLNews #AisayNahiChalayGa #Mo…",Twitter Web App,https://mobile.twitter.com
"*When Burkha applied for ISI*

ISI Chief: As a potential candidate for this consultant job, what do you suggest for… https://t.co/v2SWiknx01",Twitter Web App,https://mobile.twitter.com
"RT @NamaskarNamaste: .@netanyahu 🇮🇱welcome back next month Bibi sir, your friend @narendramodi 🇮🇳and #NewIndia inc #JammuAndKashmir is wait…",Twitter for Android,http://twitter.com/download/android
"@Anishprajapat10 @saurabhtop Yeh # nahi, #modi ki ruh bol Rahi hai",Twitter for Android,http://twitter.com/download/android
RT @haqsmusings: @Razarumi It’s a symbolic action. Symbols are important in war of narratives. Don’t forget the effect of international med…,Twitter for Android,http://twitter.com/download/android
"RT @Aryanwarlord: #Modi govt goes big on #environment! Releases Rs 47,436 crore fund for afforestation . https://t.co/kt5Kk7inTs",Twitter Web App,https://mobile.twitter.com
"‘Unfit govt, unfit economy’: Congress mocks Modi in tweets

#UnfitGovtUnfitEconomy #Modi #NarendraModi #Congress… https://t.co/8VcHMu3xFD",TweetDeck,https://about.twitter.com/products/tweetdeck
"RT @Mohamme91443915: #SaveKashmir
साहब, भारत एक बादशाह है और उस बादशाह के सर का ताज #Kashmir है इसलिए तो वो सब से ऊपर है और अगर ताज ही ना र…",Twitter for Android,http://twitter.com/download/android
"RT @Mohamme91443915: #SaveKashmir
साहब, भारत एक बादशाह है और उस बादशाह के सर का ताज #Kashmir है इसलिए तो वो सब से ऊपर है और अगर ताज ही ना र…",Twitter for Android,http://twitter.com/download/android
"RT @mrViveking: Craziest judgement by court, #wtf shameful, best example of corruption https://t.co/CK2X39XsKR #eow #pmo #devendrafadnavis…",Twitter for Android,http://twitter.com/download/android
"RT @BOLNETWORK: گجرات کا قصاب کشمیر کا قصاب بن کر بیٹھا ہے
مودی نے اب کچھ کیا تو بھارت کیلئے اچھا نہیں ہوگا
#BOLNews #AisayNahiChalayGa #Mo…",Twitter for Android,http://twitter.com/download/android
"RT @BOLNETWORK: گجرات کا قصاب کشمیر کا قصاب بن کر بیٹھا ہے
مودی نے اب کچھ کیا تو بھارت کیلئے اچھا نہیں ہوگا
#BOLNews #AisayNahiChalayGa #Mo…",Twitter for iPad,http://twitter.com/#!/download/ipad
"RT @BOLNETWORK: گجرات کا قصاب کشمیر کا قصاب بن کر بیٹھا ہے
مودی نے اب کچھ کیا تو بھارت کیلئے اچھا نہیں ہوگا
#BOLNews #AisayNahiChalayGa #Mo…",Twitter for Android,http://twitter.com/download/android
